Name,Age,Gender,Voice,Rating,Walking Behaviour,Tipping,Is Happy
Desirae Ramsey,35,Male,Raised,Good,Normal,Much,Yes
Keyla Flynn,26,Male,Raised,Bad,Rushed,Little,No
Angelina Lindsey,27,Male,Normal,Bad,Normal,Much,Yes
Alexis Ferguson,32,Female,Normal,Bad,Slow,None,No
Summer Duarte,43,Male,Normal,Good,Slow,Much,Yes
Eli Hahn,46,Female,Raised,Good,Normal,Much,Yes
Eddie Jackson,37,Female,Raised,Good,Normal,Much,Yes
Milton Cummings,27,Female,Raised,Normal,Rushed,None,No
Toby Harrington,25,Female,Normal,Good,Normal,Much,Yes
Ashanti Hardin,19,Male,Raised,Good,Rushed,None,No
Jocelynn Mitchell,35,Male,Normal,Bad,Rushed,None,No
Simone Simpson,22,Male,Normal,Good,Slow,Little,Yes
Lexi Wu,34,Male,Raised,Good,Normal,Much,Yes
Savanah Rubio,25,Male,Normal,Good,Slow,Much,Yes
Kyler Booker,27,Female,Normal,Bad,Rushed,None,No
Chelsea Fischer,48,Male,Normal,Bad,Normal,Much,Yes
Nigel Love,35,Male,Raised,Bad,Rushed,None,No
Jamal Forbes,29,Male,Normal,Bad,Normal,Much,Yes
Michelle Peck,34,Female,Normal,Bad,Rushed,None,No
Kayden Petty,24,Male,Raised,Bad,Rushed,None,No
Giuliana Ortiz,28,Female,Normal,Normal,Normal,Much,Yes
Genevieve Weaver,27,Female,Raised,Bad,Rushed,None,No
Phoebe Henderson,47,Male,Normal,Good,Normal,Much,Yes
Leandro Mcintyre,30,Female,Raised,Normal,Rushed,None,No
Kamron Francis,39,Male,Raised,Good,Normal,Much,Yes
Genesis Alvarado,41,Female,Normal,Good,Normal,Much,Yes
Beatrice Meyer,38,Female,Normal,Good,Normal,Much,Yes
Krystal Alvarado,36,Male,Normal,Good,Rushed,Much,Yes
Bryce Osborn,21,Male,Raised,Normal,Normal,None,No
Hunter Wolfe,32,Female,Normal,Good,Normal,Normal,Yes
Gaven Sanchez,34,Male,Normal,Normal,Normal,Much,Yes
Karley Lopez,26,Female,Raised,Bad,Rushed,None,No
Keenan Kent,32,Female,Raised,Bad,Rushed,None,No
Mckenna Robinson,24,Female,Raised,Bad,Slow,None,No
Anton Lucero,44,Male,Raised,Good,Normal,Normal,Yes
Micah Cervantes,47,Male,Normal,Bad,Normal,Much,Yes
Claudia Keith,26,Female,Normal,Good,Normal,Much,Yes
Giancarlo Chase,32,Male,Normal,Good,Normal,Much,Yes
Raiden Munoz,35,Female,Raised,Good,Rushed,None,No
Braden Warren,18,Female,Normal,Bad,Rushed,None,No
