StaffID,StaffName,StaffPhone,StaffAddress,StaffGender
1,Franni McKimm,561-882-6519,02370 1st Way,Male
2,Fredia FitzGibbon,299-605-1930,9925 Cardinal Plaza,Male
3,Jere Bartram,251-511-5167,45384 Blaine Alley,Male
4,Alena Reihill,196-192-6739,81 Summerview Way,Female
5,Tasha Withur,902-391-3167,2454 Prentice Lane,Female
6,Nero Cabane,993-692-5101,791 Nobel Junction,Male
7,Lesley von Grollmann,747-780-8332,87903 Johnson Way,Female
8,Jabez Caveney,544-768-1483,72 Onsgard Hill,Male
9,Bettina Boddis,270-602-4432,86034 Meadow Valley Crossing,Female
10,Karalynn McGuinness,373-373-5805,39189 Hermina Terrace,Male
11,Jase Ainsbury,277-317-2353,4593 Luster Circle,Male
12,Imojean Sinott,691-303-9442,1 Pawling Street,Female
13,Halie Coull,667-578-9373,261 Jenifer Point,Female
14,Jenifer Gayforth,195-574-0426,60 Esch Point,Male
15,Doy Bohlsen,648-803-0991,73387 Algoma Circle,Female
16,Aron Swendell,841-905-4271,5539 David Park,Male
17,Samuele Stroton,383-719-1699,15273 Lien Terrace,Female
18,Niel Cansdill,985-626-1588,917 Hintze Hill,Female
19,Feliks Raff,727-556-3578,38357 Kim Lane,Male
20,Monroe Judson,409-837-3433,450 Scofield Road,Female
21,Charlene Skaid,278-509-6477,4 Stuart Terrace,Female
22,Ardyth Benediktovich,785-959-4096,5151 Twin Pines Parkway,Male
23,Wallie Bonaire,655-386-4815,9 Acker Street,Male
24,Antonia McSpirron,914-701-3371,26712 Moose Plaza,Female
25,Keen Hammill,865-934-6555,3498 David Street,Male
26,Ursa Emblow,736-104-2959,090 Graceland Hill,Female
27,Josi Pruce,149-788-9661,6868 Hauk Center,Female
28,Caren Haseldine,243-774-1378,96 Trailsway Lane,Female
29,Carina Keppe,469-581-8959,7 Pennsylvania Drive,Male
30,Letty Sidaway,529-103-7598,7 Bunker Hill Terrace,Male
31,Nanni Vasyutichev,237-525-9100,3 Park Meadow Terrace,Male
32,Laurie Stride,621-145-9419,45753 Summerview Avenue,Male
33,Tedie Guterson,981-253-1010,86 Hintze Pass,Female
34,Murray Boatman,135-841-5159,1 Hoepker Plaza,Male
35,Cordula Stanney,465-604-7746,75 Shelley Park,Female
36,Gussie McIlwraith,224-138-9308,8120 Daystar Hill,Male
37,Garv Eggins,615-986-2521,05985 Monica Road,Female
38,Theressa Pickersail,222-731-9526,5946 Esker Junction,Male
39,Sherri Corless,175-701-2801,447 Nelson Trail,Female
40,Blythe Crayke,477-982-9269,63419 Duke Road,Female
41,Corny Salkeld,980-552-5339,5 Del Sol Drive,Male
42,Marna Littlechild,421-901-0052,1 Fieldstone Court,Female
43,Pattie Barnett,281-186-8835,86320 Dixon Pass,Female
44,Tabbie Canny,856-311-0435,6 Banding Lane,Male
45,Joyous Magson,245-899-7043,6940 Hansons Alley,Female
46,Kerwinn Noriega,723-441-8240,5873 Dapin Road,Female
47,Daven Alderman,816-941-0352,581 Oneill Trail,Male
48,Benoit Shutte,653-822-7445,01757 Eastwood Drive,Female
49,Lynnette Hattrick,900-744-7034,907 Miller Hill,Male
50,De Boomes,414-104-0789,9 Dayton Way,Male
51,Derk Stockman,421-931-6377,3374 Lakewood Gardens Road,Male
52,Corny Sebert,544-961-8146,50 Mcguire Crossing,Male
53,Kyrstin Burtonwood,928-431-0289,19 Loomis Road,Male
54,Drucy Nealey,617-399-4454,95836 Clyde Gallagher Plaza,Male
55,Redford Yelden,725-210-6640,495 Oriole Park,Female
56,Carl Gotling,592-906-0269,17 Nelson Junction,Female
57,Ewan Martijn,460-619-1339,5069 Mcguire Lane,Female
58,Eduardo Rosenqvist,496-253-5968,8 Center Place,Female
59,Mendel Brewitt,707-427-6251,4 Comanche Drive,Female
60,Dasha Coulson,393-284-0732,663 Little Fleur Park,Female
61,Ase Shipman,963-202-4344,41 Cherokee Center,Male
62,Almira Chaytor,308-437-0234,8 Jenna Road,Male
63,Austina Furzey,945-758-5154,161 Moulton Crossing,Male
64,Willdon Thorogood,818-775-5270,1360 Melby Alley,Female
65,Auberta Kennelly,282-897-7865,32786 Comanche Avenue,Male
66,Kit Gout,680-153-0780,6438 Badeau Hill,Female
67,Vincenty Steeples,390-685-0658,83236 Talmadge Parkway,Male
68,Worthington Feather,280-301-6765,0965 Dawn Parkway,Male
69,Avrit Amner,279-932-7905,6054 Sycamore Place,Female
70,Shaina Yacobsohn,113-718-8329,14 Transport Crossing,Male
71,Tod Paulo,528-741-1910,38 Eagan Way,Male
72,Niko Ballach,552-939-4280,7811 Forest Dale Park,Female
73,Tobit Redihalgh,239-939-4669,4696 Brentwood Hill,Female
74,Jany Dumphry,741-481-1814,5206 Sutherland Hill,Female
75,Isobel Daggett,589-910-4403,6036 Pennsylvania Point,Male
76,Court Riccardo,275-528-8087,1509 Northridge Parkway,Female
77,Temp Gilkison,880-242-2327,15 Fremont Avenue,Male
78,Ursa Cardow,677-774-2968,7 Schiller Point,Female
