member_id,member_name,member_gender,member_dob,member_phone,member_email,member_join_date
CU001,Ricky Fitzgerald,Female,1984-04-11,82290661433,ricky@fitzgerald.com,10/03/2015
CU002,Caleb Brock,Male,1984-04-30,82279500305,caleb@brock.com,18/08/2015
CU003,Terrell Mack,Male,1985-08-19,82228585807,terrell@mack.com,21/10/2015
CU004,Luke Dunn,Female,1986-08-29,82236320509,luke@dunn.com,14/04/2016
CU005,Stacy Powers,Male,1989-05-09,82290332018,stacy@powers.com,19/08/2016
CU006,Ginger Watts,Male,1989-05-23,82278253331,ginger@watts.com,15/09/2016
CU007,Cynthia Chapman,Male,1990-06-20,82233897020,cynthia@chapman.com,12/10/2016
CU008,Alfred Ramsey,Female,1991-08-13,82244887030,alfred@ramsey.com,21/10/2016
CU009,Harriet Gill,Male,1992-09-28,82237856432,harriet@gill.com,11/01/2017
CU010,Angel Howell,Male,1992-12-11,82222209528,angel@howell.com,14/07/2017
CU011,Kate Thompson,Female,1993-08-05,82246707043,kate@thompson.com,08/08/2017
CU012,Ella Castro,Male,1993-12-28,82269101575,ella@castro.com,04/09/2017
CU013,Marco Houston,Male,1995-08-24,82253432522,marco@houston.com,30/10/2017
CU014,Edith Gray,Male,1996-07-05,82291912617,edith@gray.com,26/02/2018
CU015,Amelia Boone,Male,1996-10-30,82292755224,amelia@boone.com,07/06/2018
CU016,Amber Barrett,Male,1997-07-08,82217572075,amber@barrett.com,17/09/2018
CU017,Antonio Wells,Female,1997-07-24,82217630379,antonio@wells.com,12/06/2019
CU018,Sammy Gibbs,Female,1998-03-25,82267155550,sammy@gibbs.com,25/09/2019
CU019,Marshall Leonard,Female,2000-09-18,82248569765,marshall@leonard.com,09/12/2019
CU020,Jody Rhodes,Male,2000-11-14,82258996858,jody@rhodes.com,14/01/2020
