staff_id,staff_name,staff_dob,staff_phone,staff_email
ST001,Devin Townsend,30734,82274552938,devin@townsend.com
ST002,Alejandro Mendez,31433,82227951559,alejandro@mendez.com
ST003,Johanna Arnold,31471,82213705473,johanna@arnold.com
ST004,Homer Harmon,31506,82287483522,homer@harmon.com
ST005,Jill Lopez,32038,82245121174,jill@lopez.com
ST006,Grady Mills,32462,82274791548,grady@mills.com
ST007,Nathan Kim,32594,82288191580,nathan@kim.com
ST008,Thomas Sharp,33142,82287294141,thomas@sharp.com
ST009,Lynne Herrera,33275,82250589056,lynne@herrera.com
ST010,Eddie Brock,33763,82247945369,eddie@brock.com
ST011,Gerardo Banks,34026,82278599432,gerardo@banks.com
ST012,Kim Brewer,34106,82227185358,kim@brewer.com
ST013,Brandi Francis,34138,82260740678,brandi@francis.com
ST014,Darrel Bailey,34491,82210716235,darrel@bailey.com
ST015,Jimmy Fernandez,34519,82289449629,jimmy@fernandez.com
ST016,Bobbie Cummings,35083,82284072448,bobbie@cummings.com
ST017,Daryl Elliott,35194,82293258392,daryl@elliott.com
ST018,Frances Chandler,35718,82225695082,frances@chandler.com
ST019,Jane Mcdonald,36199,82259532359,jane@mcdonald.com
ST020,Leo Glover,36483,82278771080,leo@glover.com
